Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
Prophylaxis and treatment of deep vein thrombosis for use in patients 18 years and older,<Venous Thrombosis>,,"Prophylaxis of and treatment of thromboembolic disorders such as thrombophlebitis, pulmonary embolism and occlusive vascular disease",<Thromboembolism>; <Thrombophlebitis>; <Pulmonary Embolism>; <Vascular Diseases>,,InterPharma Pty Ltd,InterPharma,
Active immunisation of individuals ≥ 18 years old for the prevention of coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2.,<Coronavirus Disease 2019>,,Active immunisation of individuals ≥ 18 years old for the prevention of coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2.,<Coronavirus Disease 2019>,,AstraZeneca Pty Ltd,AstraZeneca,
Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma (UC) after prior platinum-containing chemotherapy or who are considered cisplatin ineligible; Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy.,<Urothelial Carcinoma>; <Non-Small Cell Lung Carcinoma>,,Tecentriq is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma after prior chemotherapy or who are considered cisplatin ineligible; Tecentriq is indicated for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy.,<Urothelial Carcinoma>; <Non-Small-Cell Lung Carcinoma>,,Roche Registration Limited,Roche,
Indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control,"<Diabetes Mellitus, Type 2>",,Indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control,<Type 2 Diabetes Mellitus>,,Bristol-Myers Squibb/AstraZeneca EEIG,Bristol-Myers Squibb,
Remission induction therapy for moderate to severe ulcerative colitis,<Ulcerative Colitis>,,Remission induction therapy for moderate to severe ulcerative colitis,<Ulcerative Colitis>,,Eli Lilly Japan K.K.,Eli Lilly,
,Not Reported,,"emergency treatment of allergic reactions, including anaphylaxis",<Anaphylaxis>,,Not reported,Not Reported,
Treatment of major depressive disorder; Treatment of diabetic peripheral neuropathic pain; Treatment of generalised anxiety disorder,"<Depressive Disorder, Major>; <Diabetic Neuropathies>; <Anxiety Disorders>",,Treatment of major depressive disorder; Treatment of diabetic peripheral neuropathic pain; Treatment of generalised anxiety disorder,"<Depressive Disorder, Major>; <Diabetic Neuropathies>; <Anxiety Disorders>",,Generics (UK) Limited,Generics,
"For the prevention of influenza caused by influenza virus, types A and B.",<Influenza>,,"For the prevention of influenza caused by influenza virus, types A and B.",<Influenza>,,Viatris Pty Ltd,Viatris,
Treatment for symptom improvement in patients with moderate to severe spasticity due to multiple sclerosis (MS) who have not responded adequately to other anti spasticity medication and who demonstrate clinically significant improvement in spasticity related symptoms during an initial trial of therapy.,<Multiple Sclerosis>,,Symptom improvement in patients with moderate to severe spasticity due to multiple sclerosis (MS) who have not responded adequately to other anti spasticity medication and who demonstrate clinically significant improvement in spasticity related symptoms during an initial trial of therapy.,<Multiple Sclerosis>,,Novartis Pharmaceuticals Australia Pty Limited,Novartis,
Adacel may be administered during pregnancy for prevention of pertussis in young infants via transplacental antibody transfer from the pregnant woman to the fetus.,<Pertussis>,,Adacel may be administered during pregnancy for prevention of pertussis in young infants.,<Pertussis>,,Sanofi-Aventis Australia Pty Ltd,Sanofi-Aventis,
Multiple myeloma; Follicular lymphoma,"<Multiple Myeloma>; <Lymphoma, Follicular>",,Multiple myeloma; Follicular lymphoma,"<Multiple Myeloma>; <Lymphoma, Follicular>",,"KRKA, d.d., Novo mesto",KRKA,
Active immunisation against influenza in the elderly (65 years of age and older). Active immunisation against influenza in children 6 months to less than 6 years of age.,<Influenza>,,Active immunisation against influenza in the elderly (65 years of age and older). Active immunisation against influenza in children 6 months to less than 6 years of age.,<Influenza>,,Seqirus Netherlands B.V.,Seqirus,
Maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone.,<Schizophrenia>,,Maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone.,<Schizophrenia>,,Janssen-Cilag International N.V.,Janssen-Cilag,
Rheumatoid arthritis; Adult Crohn’s disease; Paediatric Crohn’s disease; Ulcerative colitis; Paediatric ulcerative colitis; Ankylosing spondylitis; Psoriatic arthritis; Psoriasis,"<Rheumatoid Arthritis>; <Crohn Disease>; <Ulcerative Colitis>; <Ankylosing Spondylitis>; <Arthritis, Psoriatic>; <Psoriasis>",,Rheumatoid arthritis; Adult Crohn’s disease; Paediatric Crohn’s disease; Ulcerative colitis; Paediatric ulcerative colitis; Ankylosing spondylitis; Psoriatic arthritis; Psoriasis,"<Rheumatoid Arthritis>; <Crohn Disease>; <Ulcerative Colitis>; <Ankylosing Spondylitis>; <Arthritis, Psoriatic>; <Psoriasis>",,Sandoz GmbH,Sandoz,
Secondary hyperparathyroidism in adults and children with end-stage renal disease on maintenance dialysis therapy; Reduction of hypercalcaemia in adults with parathyroid carcinoma or primary hyperparathyroidism where parathyroidectomy is not appropriate,<Secondary Hyperparathyroidism>; <End-Stage Renal Disease>; <Hypercalcemia>; <Parathyroid Neoplasms>; <Primary Hyperparathyroidism>,,Secondary hyperparathyroidism in adults and children with end-stage renal disease on maintenance dialysis therapy; Reduction of hypercalcaemia in adults with parathyroid carcinoma or primary hyperparathyroidism where parathyroidectomy is not appropriate,<Secondary Hyperparathyroidism>; <End-Stage Renal Disease>; <Hypercalcemia>; <Parathyroid Neoplasms>; <Primary Hyperparathyroidism>,,Accord Healthcare S.L.U.,Accord,
Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,,Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,,"Taiho Pharmaceutical Co., Ltd.",Taiho,
Treatment of secondary hyperparathyroidism (HPT) in patients with end-stage renal disease (ESRD) on maintenance dialysis therapy; Reduction of hypercalcaemia in patients with parathyroid carcinoma; primary HPT for whom parathyroidectomy would be indicated but is not clinically appropriate or is contraindicated.,"<Hyperparathyroidism, Secondary>; <End Stage Renal Disease>; <Hypercalcemia>; <Parathyroid Neoplasms>; <Hyperparathyroidism, Primary>",,Treatment of secondary hyperparathyroidism (HPT) in patients with end-stage renal disease (ESRD) on maintenance dialysis therapy; Reduction of hypercalcaemia in patients with parathyroid carcinoma; primary HPT for whom parathyroidectomy would be indicated but is not clinically appropriate or is contraindicated.,"<Hyperparathyroidism, Secondary>; <Kidney Failure, Chronic>; <Hypercalcemia>; <Parathyroid Neoplasms>; <Hyperparathyroidism, Primary>",,MYLAN S.A.S.,Mylan,
Relief of lower urinary tract symptoms (LUTS) associated with benign prostatic hyperplasia in adult men,<Lower Urinary Tract Symptoms>;<Prostatic Hyperplasia>,,Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) in adult men,<Prostatic Hyperplasia>,,Mayne Pharma International Pty Ltd,Mayne,
Treatment to increase bone mass in men with osteoporosis at increased risk of fracture.,<Osteoporosis>,,Treatment of osteoporosis in men.,<Osteoporosis>,,Amgen Australia Pty Ltd,Amgen,
For the treatment of adult patients with locally advanced or metastatic rearranged during transfection (RET) fusion-positive non-small cell lung cancer (NSCLC).,<Non-Small Cell Lung Carcinoma>,,"For the treatment of adult patients with RET-fusion positive, locally advanced or metastatic NSCLC.",<Non-Small Cell Lung Carcinoma>,,Roche Products Pty Ltd,Roche,
Ontilyv is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations,<Parkinson Disease>,,Ontilyv is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations,<Parkinson Disease>,,"BIAL – Portela & Cª, S.A.",BIAL,
"Bortezomib Hospira as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib Hospira in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.",<Multiple Myeloma>; <Mantle Cell Lymphoma>,,"Bortezomib Hospira as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib Hospira in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.",<Multiple Myeloma>; <Mantle Cell Lymphoma>,,Hospira UK Limited,Hospira,
vaccination against invasive disease caused by Haemophilus influenzae type b and against infection caused by all known subtypes of hepatitis B virus in infants 6 weeks to 15 months of age,<Haemophilus Infections>; <Hepatitis B>,,vaccination against invasive disease caused by Haemophilus influenzae type b and against infection caused by all known subtypes of hepatitis B virus in infants 6 weeks to 15 months of age,<Haemophilus Infections>; <Hepatitis B>,,Not reported,Not Reported,
,Not Reported,,treatment of paediatric and adult patients with acute lymphoblastic leukaemia that has either relapsed or failed first line treatment; also for the treatment of paediatric and adult patients with acute lymphoblastic leukaemia and hypersensitivity to asparaginase,<Precursor Cell Lymphoblastic Leukemia-Lymphoma>,,ERYTECH Pharma S.A.,ERYTECH,
treatment of patients aged 3 years and older with subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) who require therapeutic intervention but are not amenable to surgery,<Subependymal Giant Cell Astrocytoma>; <Tuberous Sclerosis>,,treatment of patients aged 3 years and older with subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis (TS),<Astrocytoma>; <Tuberous Sclerosis>,,Novartis Europharm Ltd.,Novartis,
Unresectable Malignant melanoma with BRAF mutations; Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Melanoma>; <Lung Neoplasms>,,Unresectable Malignant melanoma with BRAF mutations,<Melanoma>,,Novartis Pharma K.K.,Novartis,
